id_gene,id_string,gene,UpMiddle_vs_Apical,DownMiddle_vs_Basal,logCPM_up,logFC_up,FDR_up,logCPM_down,logFC_down,FDR_down,biotype
FBgn0000079,7227.FBpp0086155,Amy-p,True,True,1.95611830822706,3.64064590806392,6.03515058110465e-13,4.455137891308589,-2.81771458379652,0.0631090164064361,protein_coding
FBgn0000447,7227.FBpp0289671,Dhod,True,True,8.28485841853276,1.3391275169423402,1.18630863503163e-43,8.55851223646219,-0.228118661547632,0.129741248353702,protein_coding
FBgn0000567,7227.FBpp0099825,Eip74EF,True,True,2.33439554615992,1.11025456162082,0.00410184687001582,2.35270583065535,0.27994901122217897,0.725091271030521,protein_coding
FBgn0001104,7227.FBpp0076643,Galphai,True,True,3.00991021541613,-0.227776884483095,0.494096456109663,3.03412627816839,-1.00088623740392,0.0287602943273927,protein_coding
FBgn0001216,7227.FBpp0075504,Hsc70-1,True,True,8.796020902965571,1.5998676626402102,6.433904877118418e-62,9.170075818747632,-0.286963872559055,0.0417396019218517,protein_coding
FBgn0001217,7227.FBpp0082175,Hsc70-2,True,True,10.1819884279454,1.13245422197326,8.765568358128449e-33,10.3071108629055,-0.0697671002516462,0.7178040241223571,protein_coding
FBgn0001258,7227.FBpp0304375,Ldh,True,True,4.5531015253557,1.72452913109422,3.12072394208228e-19,5.1143375298413885,-0.475512018734462,0.0686361774354905,protein_coding
FBgn0001624,7227.FBpp0290503,dlg1,True,True,4.04622943069215,-0.3741578883721551,0.0981430830236606,4.07332138159472,-1.1185558605135202,0.00275670735682494,protein_coding
FBgn0002719,7227.FBpp0082129,Men,True,True,9.211916639396213,1.18062198626827,1.71926883366901e-33,9.36237499403713,-0.0878802607713628,0.6463265501544571,protein_coding
FBgn0003071,7227.FBpp0087506,Pfk,True,True,9.546427783219961,1.1884564899757,1.21517904593191e-35,9.7921725453124,-0.263580563989084,0.0545890339592269,protein_coding
FBgn0003651,7227.FBpp0082035,svp,True,True,3.80067066070571,1.0502681183300602,1.81179280935929e-05,3.97834289862902,-0.111229166521246,0.8377023547626992,protein_coding
FBgn0003716,7227.FBpp0078721,tkv,True,True,3.21358663557835,-0.644738430036884,0.0416382079682364,3.3823595833525,-1.65208774799615,0.000338627310426212,protein_coding
FBgn0003885,7227.FBpp0081062,alphaTub84D,True,True,9.388303225282261,1.33165130485854,7.808590420792698e-42,9.627690551296787,-0.172345850172382,0.268131488622718,protein_coding
FBgn0003886,7227.FBpp0081565,alphaTub85E,True,True,6.7849890976191,2.7521278731801804,2.869765671975289e-11,7.500347036648541,-0.480255559252581,0.0233921046873326,protein_coding
FBgn0003889,7227.FBpp0081524,betaTub85D,True,True,11.9550581522455,1.12973518760145,7.20459356779763e-32,12.016686222556801,0.0536673550327952,0.79184278858209,protein_coding
FBgn0003943,7227.FBpp0073035,Ubi-p63E,True,True,11.037339908420998,1.14863411965407,7.325918004240188e-34,11.2045221634885,-0.141884881068835,0.395375237676536,protein_coding
