id_gene,id_string,gene,UpMiddle_vs_Apical,DownMiddle_vs_Basal,logCPM_up,logFC_up,FDR_up,logCPM_down,logFC_down,FDR_down,biotype
FBgn0004360,7227.FBpp0087596,Wnt2,True,True,2.75758586129583,0.19795425576100606,0.584204067141742,3.39022840792892,-1.52612970681009,6.17288825277021e-05,protein_coding
FBgn0004381,7227.FBpp0075762,Klp68D,True,True,2.35884550946696,-2.44310177595798,4.00405108942548e-08,1.6956833777706102,-2.38906497469,8.97060976446314e-05,protein_coding
FBgn0010435,7227.FBpp0072308,emp,True,True,8.807071439520481,1.22793856387414,4.5272382143887696e-38,9.163440162987301,-0.436619836522401,0.000479528657820405,protein_coding
FBgn0012034,7227.FBpp0078067,AcCoAS,True,True,1.96063720278952,-0.7227834354462109,0.105835511585734,1.95572748049623,-1.488614208017,0.0129866271523268,protein_coding
FBgn0016075,7227.FBpp0305720,vkg,True,True,4.0533643843267715,1.09861884313771,2.2034677074771e-07,4.49945520918614,-0.598094765793754,0.0502593433218589,protein_coding
FBgn0016078,7227.FBpp0087635,wun,True,True,2.705898937337,1.21238101223796,0.0008844046238793721,3.45596403905622,-1.08339606891747,0.010641829489616998,protein_coding
FBgn0017556,7227.FBpp0072257,Prosalpha4T2,True,True,7.5248980277639985,1.22338802438938,5.887650625504789e-35,7.51703758074293,0.281691656194895,0.0900235523360388,protein_coding
FBgn0019952,7227.FBpp0083983,Orct,True,True,1.14037902239059,0.395709244501829,0.476888192479184,1.83323577916435,-1.60130504266685,0.0100875833241176,protein_coding
FBgn0024846,7227.FBpp0080111,p38b,True,True,1.2063715961929,-1.1067698659500902,0.0547090778464228,1.16539147493183,-1.7749607851526397,0.0214010758443406,protein_coding
FBgn0025638,7227.FBpp0300874,Roc1a,True,True,4.49932132856563,-2.28198263443233,4.12295473067824e-27,3.1869599684094703,-1.19313694246458,0.0065809477874948785,protein_coding
FBgn0028670,7227.FBpp0083071,Vha100-2,True,True,4.27833657815957,-0.59290406087963,0.0151886354279718,4.70965132174494,-1.87833524076103,7.43455697013845e-06,protein_coding
FBgn0028671,7227.FBpp0084743,Vha100-1,True,True,5.513293489802152,-0.847691970449398,9.79968189512068e-09,5.45208557201934,-1.3664488287455498,8.966795633452099e-08,protein_coding
FBgn0028879,7227.FBpp0080263,CG15270,True,True,2.11654582360419,1.32851275638479,0.000916478776031955,2.3547516301961102,0.0419665590382042,0.965511564548044,protein_coding
FBgn0028892,7227.FBpp0080294,CG4161,True,True,8.27653888713742,1.4232641284523202,2.6430054371144e-49,8.57755752437075,-0.234305321706618,0.115268124564213,protein_coding
FBgn0028903,7227.FBpp0303714,CG13243,True,True,8.59754628996071,1.2835372597961598,2.81001891700825e-41,8.81966694952965,-0.16227256070513502,0.310615729639021,protein_coding
FBgn0029853,7227.FBpp0070860,CG3781,True,True,4.8387294460906505,1.5237767301789498,1.59003770447084e-18,5.10052856920974,-0.0158626859448303,0.9727161942205071,protein_coding
FBgn0030574,7227.FBpp0073761,CG9413,True,True,1.77243083638565,0.223051989470442,0.6415049919315,3.37888174027089,-2.84487842423365,5.196162546127229e-11,protein_coding
FBgn0030578,7227.FBpp0073753,CG5347,True,True,5.80721812368888,1.02359426817081,2.37310538625298e-13,5.96463841409487,-0.16918195569052896,0.54484192831457,protein_coding
FBgn0030796,7227.FBpp0074110,CG4829,True,True,2.26395640420307,1.19852690678414,0.00217298091540778,3.09990676165689,-1.11495356902632,0.0105338124889278,protein_coding
FBgn0030932,7227.FBpp0074393,Ggt-1,True,True,2.7542389541064503,0.677498279745988,0.0391801797948623,3.48071752777984,-1.31150201294785,0.000356285004205915,protein_coding
FBgn0030993,7227.FBpp0074440,Mec2,True,True,1.08964970896558,0.00622168476572495,0.991953019556968,2.19280736860068,-2.32622156525711,7.39859410934735e-06,protein_coding
FBgn0031170,7227.FBpp0297618,ABCA,True,True,4.43424153334342,-1.46428248287341,2.72874386555147e-13,3.83986229159081,-1.28645141393305,0.000518055708538072,protein_coding
FBgn0031191,7227.FBpp0077044,Cp110,True,True,7.19777489249563,1.16390411469788,2.26050152300585e-28,7.320173710684791,-0.0283229195985853,0.918662427517378,protein_coding
FBgn0031264,7227.FBpp0077736,CG11835,True,True,3.6784548144908498,1.05702437986548,1.28655732771369e-05,3.85146291770366,-0.112694873712268,0.8438930434271109,protein_coding
FBgn0031720,7227.FBpp0078752,CG14013,True,True,7.4144421802125,1.27731579093166,4.31248693908086e-37,7.55740812193822,-0.00262112538193118,0.99288734607085,protein_coding
FBgn0032123,7227.FBpp0079423,Oatp30B,True,True,9.031684629551561,1.07498859349599,1.74890122449078e-28,9.29150664894199,-0.351811403043211,0.00827750699999226,protein_coding
FBgn0032208,7227.FBpp0079663,Ufd4,True,True,9.66984742969743,1.03623978426741,2.5238004853118198e-25,9.83519763433926,-0.204393625983397,0.185016418983054,protein_coding
FBgn0032520,7227.FBpp0080100,CG10859,True,True,9.69491881356802,1.06166631940477,7.42629565157721e-29,9.759729086393053,0.00592074413698517,0.981765534803687,protein_coding
FBgn0032677,7227.FBpp0080603,CG5790,True,True,9.755179172738359,1.177270725735,3.4281481880853506e-32,9.980004829865939,-0.231641580048035,0.11068632257980697,protein_coding
FBgn0032752,7227.FBpp0080716,CG10702,True,True,0.5678532890466911,-0.7805486435540799,0.251410232821986,1.27018201206707,-2.6773304182412203,0.000619249857181648,protein_coding
FBgn0032768,7227.FBpp0080766,CG17564,True,True,8.64061438914073,1.2487164440753602,2.72665957370571e-31,8.6989141870298,0.14389289222084806,0.40675130489318,protein_coding
FBgn0032857,7227.FBpp0080901,CG10947,True,True,7.33116095851154,1.48475545915545,3.3305743269968393e-37,7.567132294169401,-0.0710447974733636,0.7532217166194829,protein_coding
FBgn0033074,7227.FBpp0085338,tomboy40,True,True,8.60008835208976,1.42855516892311,1.64742657656254e-46,8.79316856875259,-0.0280289043096264,0.905361308202354,protein_coding
FBgn0033238,7227.FBpp0087929,azot,True,True,6.64658454377929,1.142089085784,5.18854803469604e-23,6.760632887694499,-0.0190655181704411,0.952714448054566,protein_coding
FBgn0033248,7227.FBpp0087946,Dic3,True,True,6.859779351008362,1.7306436699503898,2.19089052906309e-44,7.35825444223113,-0.436496839969628,0.0072165497167996,protein_coding
FBgn0033371,7227.FBpp0289410,CNT1,True,True,8.20940958154571,1.05121482509554,2.97137596901119e-28,8.235361532214862,0.0832602071397455,0.6845951639989569,protein_coding
FBgn0033382,7227.FBpp0087661,Hydr1,True,True,8.43405434947985,1.12545675158026,4.7528533121347896e-32,8.62376854850061,-0.191174817357043,0.217682444536215,protein_coding
FBgn0033402,7227.FBpp0305215,Myd88,True,True,2.3514441963908,0.554956639703844,0.147679377360733,3.0993288826719505,-1.42874440932426,0.00050583877610214,protein_coding
FBgn0033739,7227.FBpp0111987,Dyb,True,True,0.7635278635817209,-1.15565360926632,0.0657753896185663,0.660196446746083,-1.7214889199962602,0.0450235037633208,protein_coding
FBgn0033755,7227.FBpp0086939,ClC-b,True,True,3.63587080148877,-0.9636940554702008,0.00016780525943988799,3.73764197120182,-1.78502028847355,1.95225164709141e-06,protein_coding
FBgn0033856,7227.FBpp0297097,CG13334,True,True,6.99862810398517,1.51685564071377,6.65747026266376e-42,7.29680965409263,-0.17129175337004798,0.39169613449670704,protein_coding
FBgn0034194,7227.FBpp0086135,CG15611,True,True,2.11224554422538,1.05668580781801,0.00805406237854914,3.13785733286492,-1.57213272642656,0.00019856555729649096,protein_coding
FBgn0034432,7227.FBpp0289511,CG7461,True,True,3.34714820274218,0.434647770578815,0.123416646678923,3.82442003604338,-1.15573533676099,0.0051713162270267295,protein_coding
FBgn0034532,7227.FBpp0085543,CG13436,True,True,8.05812919514066,1.21309975043188,1.2628044919924498e-36,8.14051016642548,0.0752868128085972,0.714354252961493,protein_coding
FBgn0034592,7227.FBpp0071498,CG9406,True,True,6.639840237146231,1.66085897611009,3.1588543046456205e-45,7.08231205106822,-0.358584974905866,0.0381295740208798,protein_coding
FBgn0034687,7227.FBpp0071716,CG11475,True,True,6.748318601412362,1.40615258501387,5.11879587481221e-36,7.0674324045810115,-0.26226608169701604,0.15486703252858094,protein_coding
FBgn0034689,7227.FBpp0071713,CG2921,True,True,9.13838898902143,1.07150521793211,2.3559290487206202e-28,9.306994210917267,-0.188101006568476,0.22746161358393804,protein_coding
FBgn0035189,7227.FBpp0072531,CG9119,False,True,,,,1.1500665357123798,-3.1516764292441497,0.000684494180018079,protein_coding
FBgn0035383,7227.FBpp0072848,CPT2,True,True,2.1779223688108,-0.612443787453245,0.15699020825209198,2.3682297308604303,-1.63184868271178,0.0018033508909437895,protein_coding
FBgn0035587,7227.FBpp0076870,Gdap1,True,True,0.443283281876781,-0.987449963203072,0.15846484637607405,0.6871027188944471,-2.18827708711793,0.00925833041388908,protein_coding
FBgn0035724,7227.FBpp0076646,CG10064,True,True,9.02129757180165,1.1109820478209098,4.50467475906439e-31,9.03481370739923,0.145807986688865,0.384579189546711,protein_coding
FBgn0035756,7227.FBpp0305560,unc-13-4A,True,True,2.05516683746787,1.5470282549381,0.000169130634999475,4.92218868790208,-3.56725228735413,1.26237295653226e-07,protein_coding
FBgn0035802,7227.FBpp0088791,Pura,True,True,5.002322857378362,1.20258882192097,1.64849480222053e-10,5.767028893620629,-1.06807773460915,3.42779444198768e-07,protein_coding
FBgn0036381,7227.FBpp0075543,CG8745,True,True,1.05018930488628,1.8633076514654296,0.0008988543356975789,1.98316822276861,-1.07913368599218,0.0895575791679407,protein_coding
FBgn0036493,7227.FBpp0099766,CG7255,True,True,2.56095296603596,0.6582138619151121,0.0640052803556695,3.1975854904666,-1.26535917855075,0.00834399232873982,protein_coding
FBgn0036497,7227.FBpp0075369,Ran-like,True,True,7.96907000302538,1.5879236380448,4.36566595592164e-56,8.32284542466945,-0.247621394743254,0.10242624929618,protein_coding
FBgn0036784,7227.FBpp0074898,CG5103,True,True,8.60887188554512,1.37280143762398,9.048810557139199e-41,8.91966176334005,-0.28136158494143104,0.0488637382940883,protein_coding
FBgn0036808,7227.FBpp0306183,Dic4,True,True,6.122314402899572,1.06802157281243,8.320802990720159e-18,6.18990053724943,0.0378848551451422,0.910217269235708,protein_coding
FBgn0036821,7227.FBpp0074844,CG3961,True,True,1.65294223510298,1.5470338873897902,0.00114964662916045,1.9821089591798504,0.0584626621971985,0.95922331611606,protein_coding
FBgn0036836,7227.FBpp0074813,CG11619,True,True,2.60288440759895,1.39167936799483,3.77691195644111e-05,2.8376172384848,0.0743670958525983,0.925356387292355,protein_coding
FBgn0037090,7227.FBpp0078010,Est-Q,True,True,1.44921410068808,1.23445566553101,0.0168629224964327,1.84827078967982,-0.356352028659099,0.679601856846879,protein_coding
FBgn0037165,7227.FBpp0078157,CG11437,True,True,1.88804977949596,1.1828059922044,0.00490133100704639,2.13850547134291,-0.117910190393905,0.898297373910754,protein_coding
FBgn0037203,7227.FBpp0078206,slif,True,True,2.88815236318276,1.62590715858865,2.00212593567137e-07,4.10249410246841,-1.5169614990432798,1.49172915853298e-06,protein_coding
FBgn0037534,7227.FBpp0081313,CG2781,True,True,2.0069558473779603,1.179171441272,0.00852754700751233,2.09343390360837,0.209033204012292,0.8078332735334951,protein_coding
FBgn0037900,7227.FBpp0081866,CG5276,True,True,8.28259552827657,1.20371356474391,5.209685514959178e-36,8.43092246801868,-0.0646896187216244,0.754107609636942,protein_coding
FBgn0037913,7227.FBpp0099728,fabp,True,True,4.83904254598223,1.14029837986547,3.36860807310556e-11,5.23216725647053,-0.4966002021154001,0.0467305707396931,protein_coding
FBgn0037986,7227.FBpp0290937,CG14736,True,True,7.03229553552592,1.05316711875765,3.35186118425146e-23,7.1770325967764,-0.139013191380591,0.51283386644354,protein_coding
FBgn0038008,7227.FBpp0082033,CG3942,True,True,8.16251321855636,1.4521876262807598,8.978690959234527e-49,8.37891010506522,-0.0561887587682602,0.791050612083572,protein_coding
FBgn0038122,7227.FBpp0082200,CG8138,True,True,6.740850240205151,1.2592065546417,6.053880274253549e-31,6.88900278705354,-0.0107966138838314,0.972452454869687,protein_coding
FBgn0038233,7227.FBpp0303078,HtrA2,True,True,7.43105794266075,1.01138392716852,9.339199032842561e-24,7.45745539222887,0.0615613637310654,0.795247800274761,protein_coding
FBgn0038237,7227.FBpp0289559,Pde6,True,True,4.01539897980977,1.0528415434450602,8.0559895737051e-07,4.13229420208976,-0.00532364459466505,0.993338119997915,protein_coding
FBgn0038279,7227.FBpp0082463,Sdr,True,True,1.1775180160737702,-1.18069216698751,0.052386600225863,2.1558357893321003,-3.2808497322678103,1.04795768009824e-05,protein_coding
FBgn0038565,7227.FBpp0082964,CG7794,True,True,8.63699771381942,1.4480185468173798,6.535338582448348e-49,8.92640464126484,-0.203504149613988,0.193189986409914,protein_coding
FBgn0038721,7227.FBpp0291654,subdued,True,True,2.81594845254881,0.317637725904224,0.353363449417709,3.3874874459539,-1.36244312742391,0.000564453007355215,protein_coding
FBgn0038797,7227.FBpp0083299,Dic2,True,True,9.15440764194411,1.2039404478668798,4.02858851273872e-38,9.27822810610442,-0.0206508093594773,0.9324592640864332,protein_coding
FBgn0039070,7227.FBpp0083775,CG17083,True,True,8.97691157668199,1.13039429935334,1.1557916028588102e-32,9.116100185334721,-0.0952764080896197,0.608595171174906,protein_coding
FBgn0039228,7227.FBpp0084076,CG6980,True,True,6.89355659748212,1.43049105958291,1.11870850043148e-41,7.0963175297914,-0.0214542045811989,0.941352220058058,protein_coding
FBgn0039373,7227.FBpp0084276,CG5024,True,True,8.00184975771044,1.6934984235582098,6.840897505919538e-67,8.40575429461196,-0.292735107657612,0.0400173440579552,protein_coding
FBgn0039543,7227.FBpp0084605,CG12428,True,True,1.7052722361962198,-0.6499185428732629,0.175006474007964,1.79086227557781,-1.5409560132752702,0.0157902054806581,protein_coding
FBgn0039635,7227.FBpp0084735,Pdhb,True,True,8.90510856294492,1.1312861216746202,1.30501441698093e-30,9.03621427431426,-0.0799848221023537,0.6908018296383989,protein_coding
FBgn0039744,7227.FBpp0084928,CG15526,True,True,3.77702049922418,1.4322772679880902,3.40791572944657e-09,4.09297016139296,-0.109514765304376,0.840120158175428,protein_coding
FBgn0039796,7227.FBpp0085090,CG12069,True,True,8.00362477613281,1.4024659490446698,6.00063589977145e-47,8.35235179721541,-0.33102874392123605,0.0198342458385329,protein_coding
FBgn0041094,7227.FBpp0075899,scyl,True,True,4.77599960629971,-0.8175919168230799,1.4756570710819e-05,4.5464299946452815,-1.14762264982971,0.00586412349425007,protein_coding
FBgn0050378,7227.FBpp0087930,CG30378,True,True,8.72834722225431,1.37868279881026,8.814482671846392e-44,8.96184475341855,-0.133713953399824,0.434114455441802,protein_coding
FBgn0051294,7227.FBpp0082652,CG31294,True,True,7.31524489767761,1.33096256109266,1.27218620936557e-39,7.48323839725353,-0.0166240770983756,0.953109673345602,protein_coding
FBgn0051802,7227.FBpp0080611,CG31802,True,True,8.29759706474474,1.09173262403773,2.4094466758346296e-30,8.19641844869735,0.392293842185548,0.00384840322557832,protein_coding
FBgn0052396,7227.FBpp0076678,CG32396,True,True,8.076285619488111,1.03782816063914,8.58089455906073e-24,8.39709083681562,-0.4764335495235229,0.00019856555729649096,protein_coding
FBgn0052666,7227.FBpp0073356,Drak,True,True,3.1998029239689703,-0.249682916065455,0.425887031957734,3.42297783418311,-1.29604042063316,0.000756252197586492,protein_coding
FBgn0052687,7227.FBpp0071392,CG32687,True,True,1.9789895560135904,0.382777232784575,0.377222635352172,2.55426870534066,-1.47605789153934,0.0255504082612604,protein_coding
FBgn0062413,7227.FBpp0300818,Ctr1A,True,True,2.99551876575219,0.760286552704764,0.0122622218830126,4.64268974618866,-2.46627763576758,1.79302307039341e-14,protein_coding
FBgn0063667,7227.FBpp0271924,CG32335,True,True,0.706382947360131,1.45403306624106,0.0158494514434235,0.552241052954277,1.5163071287715302,0.107289317770456,protein_coding
FBgn0069354,7227.FBpp0079773,Porin2,True,True,9.647981673444,1.43133024428682,3.567983153921478e-49,9.87136919224352,-0.0896322180130839,0.634168402432174,protein_coding
FBgn0083956,7227.FBpp0110124,CG34120,True,True,7.919184244608671,1.40197885411182,9.99827098305642e-40,8.258153578419629,-0.311701542073672,0.028217582684547993,protein_coding
FBgn0085190,7227.FBpp0290228,CG34161,True,True,6.7021851185494805,1.33974065310598,1.7710573289729694e-34,6.95485317989842,-0.16889767286031798,0.416354389837526,protein_coding
FBgn0085303,7227.FBpp0111383,CG34274,True,True,6.44229379873936,1.4930562265484,2.700000008638169e-36,6.653503502356711,0.00778777834564695,0.982062605575298,protein_coding
FBgn0086365,7227.FBpp0083982,Orct2,True,True,2.7122143298357497,0.999575251975351,0.0027991358780426107,3.5912775396138,-1.31602977511691,0.000249299783352604,protein_coding
FBgn0250785,7227.FBpp0088886,vari,True,True,4.141054488059311,-1.63104101146397,8.579251262408072e-14,3.4328120667661,-1.33912080712474,0.0010341996292678,protein_coding
FBgn0250821,7227.FBpp0078620,CG14644,True,True,7.08889785897591,1.17215355110183,6.60093784199158e-30,7.078432774295652,0.255097541578218,0.175229800869952,protein_coding
FBgn0259111,7227.FBpp0288814,Ndae1,True,True,3.5201369515806498,1.16190492565042,4.02944271888549e-06,5.04331951158317,-2.12184790070994,1.95168519637434e-08,protein_coding
FBgn0259729,7227.FBpp0289272,CG42383,True,True,8.03733764145701,1.7935387953641495,1.6249866873403092e-72,8.48309062193308,-0.3287028324661789,0.0249090733526412,protein_coding
FBgn0260934,7227.FBpp0290718,par-1,True,True,4.78600544654786,-0.43816897022007706,0.0207173982651067,4.83375791732948,-1.14972582783457,7.634024510404511e-06,protein_coding
FBgn0261260,7227.FBpp0291363,mgl,True,True,5.670516432358191,1.17640494227066,1.3178888107578599e-17,6.512455052029481,-1.20208454804322,2.01411974101142e-10,protein_coding
FBgn0263220,7227.FBpp0300312,Hk,True,True,1.9127977642901104,1.08326528102908,0.0159848261575382,2.31397568305839,-0.544870536664645,0.398256733288298,protein_coding
FBgn0264574,7227.FBpp0305687,Glut1,True,True,4.2325501492389215,1.1730687234480202,4.62643321322596e-09,4.77862960264989,-0.7255896390499359,0.0064082382352254,protein_coding
FBgn0264695,7227.FBpp0080452,Mhc,True,True,6.979540293477268,1.06838090829846,8.19835052240234e-25,6.938498986308598,0.25855385710962303,0.159126951055041,protein_coding
FBgn0265512,7227.FBpp0304278,mlt,True,True,8.932488420913769,1.41129480384002,6.238546156055747e-49,9.15410521826222,-0.0944954542432025,0.620379065397054,protein_coding
FBgn0266100,7227.FBpp0111628,CG44837,True,True,2.84405998951051,1.4030970061609,0.00092022673312004,3.14218426890436,0.0068006015273756,0.9945708738788952,protein_coding
FBgn0266377,7227.FBpp0291341,Pde8,True,True,2.86528968595183,0.198376558550618,0.557568258441178,3.2611351872549905,-1.16961988651173,0.00349974861599244,protein_coding
FBgn0266719,7227.FBpp0292144,stac,True,True,3.0128085356846803,-0.4434807456765529,0.170903787750398,2.93221207577829,-1.05010765375306,0.0244158377604341,protein_coding
