id,gene,biotype,logFC,logCPM,F,PValue,FDR,mC_1,mC_2,mC_3,mdlc_1,mdlc_2,mdlc_3,Prp19_1,Prp19_2,Prp19_3
FBgn0027783,SMC2,protein_coding,1.581468192,6.615836859,449.2920835,9.11E-12,5.68E-10,56.88104109,57.34023903,53.26140213,158.8987669,179.621719,162.71005,75.50608192,70.47068441,67.1776834
FBgn0032450,CG5776,protein_coding,1.582141074,3.430573472,160.9941302,6.81E-09,5.42E-08,6.383249669,4.671517177,5.146683486,14.81198875,16.15613049,17.6556068,10.2455945,10.41802743,11.10454047
FBgn0051064,CG31064,protein_coding,1.582207131,4.518269746,247.0444018,4.48E-10,6.86E-09,12.66978343,12.53933558,11.13986097,34.33166384,39.76790137,34.7504112,19.21339377,18.42822701,22.75952152
FBgn0029980,CG10778,protein_coding,1.585822522,3.90486413,174.6699195,4.08E-09,3.66E-08,8.716520855,6.339916169,7.872394149,20.74683113,23.80018056,24.38523568,14.47393509,14.61384626,13.3541672
FBgn0050096,CG30096,protein_coding,1.586535189,1.682515523,67.80497671,1.24E-06,4.53E-06,1.94640757,1.826457844,1.676058109,6.351070756,5.571543542,4.428405212,2.183868216,2.47934749,1.507728555
FBgn0036716,CG13728,protein_coding,1.58814373,1.414051381,43.6918261,1.45E-05,4.00E-05,1.124322385,1.123974058,1.100442193,3.753231644,4.21903116,2.030491473,2.834382152,3.981259911,3.470168897
FBgn0038190,CG9926,protein_coding,1.589755265,4.146324509,148.5490104,1.13E-08,8.06E-08,10.4815861,9.02691665,8.160202107,27.98776943,31.41058605,23.90178533,18.33055343,14.85224506,14.52684497
FBgn0036781,CG13699,protein_coding,1.596183183,1.91019036,110.5508717,6.94E-08,3.72E-07,1.607901905,1.527902235,1.45596967,4.35604514,5.55135679,3.964292875,5.204111492,5.149414017,4.834304256
FBgn0040001,NA,NA,1.600219382,2.898494086,183.8890605,2.95E-09,2.86E-08,3.421325107,3.617791498,4.367909011,11.17357872,11.6948583,11.69949848,7.295049146,6.50828716,6.796744597
FBgn0028675,Sur,protein_coding,1.602496803,4.106659696,226.9620645,7.72E-10,1.02E-08,8.813236759,11.09924382,9.988629135,28.4183505,29.20350117,33.16469405,10.50115355,11.94377973,11.12847267
FBgn0038173,Adgf-C,protein_coding,1.602977716,1.631627447,34.88756109,7.39E-05,0.000173456,1.607901905,1.475215951,1.54061907,3.437472194,4.010434723,6.710290866,3.089941199,3.790540873,1.962440341
FBgn0034106,CG9068,protein_coding,1.603196553,1.503565772,73.75433294,7.66E-07,2.98E-06,1.100143409,1.036163584,0.761844595,3.351355981,2.624277755,2.862026076,3.903083619,5.101734257,4.930033053
FBgn0032050,CG13096,protein_coding,1.60330207,7.298722723,364.5144505,3.59E-11,1.28E-09,88.08400964,86.91480643,81.68667047,249.5073763,291.4024935,238.9405013,134.5402217,126.0176041,119.1584202
FBgn0015664,Dref,protein_coding,1.603766393,5.458776508,488.6458434,5.24E-12,4.13E-10,25.02524018,23.46295845,23.24472509,67.91698715,75.35041616,74.83811427,36.75403741,33.78110955,34.74955336
