"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1616608_a_at",-0.879406912101613,8.51682052245503,-7.07445065215363,3.67900908931855e-05,0.000116168910797676,1.88519327235781
"1622892_s_at",0.611908159526509,10.7329669958097,7.696168269398,1.80363913745178e-05,6.06073917251528e-05,2.65164912664219
"1622893_at",-0.40873695607601,5.30562710453468,-2.91785198244632,0.0155942803907581,0.029404318173878,-4.49484139167817
"1622894_at",0.131706983010081,5.7132932418254,2.0311414799273,0.0701068955211049,0.110244431124791,-5.97270021487588
"1622895_at",-1.29459253796894,9.04092306050229,-15.0660328409812,3.99588959368246e-08,3.65744705036594e-07,9.20416898394945
"1622896_at",-0.637238878754994,6.8253869663533,-8.05880928202648,1.21336032097606e-05,4.23491801162769e-05,3.07816988319928
"1622897_at",0.141443210707476,5.5835734352513,2.1888004046215,0.0538492387613705,0.0876159660890706,-5.7209399999565
"1622898_a_at",-0.366382648067496,9.49906469804255,-5.07052684562713,0.000508108071056857,0.00130042730083316,-0.923810828598399
"1622899_at",-0.128658570809902,4.76752105018587,-1.78781878223744,0.104562192415218,0.155327063070483,-6.34521020213289
"1622900_at",0.234505991303982,4.31240256986895,3.4255643728651,0.00663150082137717,0.0136638620968406,-3.62085030623339
"1622901_at",0.113876429426601,5.27013293790981,1.50473386110218,0.163771840123224,0.227655282013927,-6.74658226942622
"1622902_at",-0.0438488224977913,5.91555551235476,-0.488300815571263,0.636026754780246,0.704499068182071,-7.7376964053344
"1622903_s_at",-1.27701827077858,7.32281681124829,-11.9334924064769,3.55386724578906e-07,1.97342197603851e-06,6.87322231902594
"1622904_at",0.462587067842601,6.64951081669593,6.25857462104331,0.000100496534436377,0.000292073350810952,0.806686709203008
"1622905_at",0.123827012396309,3.98581528392532,1.79199683566906,0.103856788504238,0.154460790687617,-6.33900646211609
"1622906_at",-0.0210123938213709,6.43560075608109,-0.236550977143202,0.817852867369352,0.859449721969378,-7.83658037436446
"1622907_at",-0.320547740676505,7.38572516681259,-4.0227491470905,0.00250400327615405,0.00563408169175727,-2.60800224352547
"1622908_a_at",0.586410484935059,5.82397559366786,6.22349494169814,0.000105132132941993,0.000304285916847381,0.758363804722908
"1622909_at",-0.459414360905544,9.47284449938774,-5.90409567908251,0.000159702396745954,0.000446610568559735,0.310727030910572
"1622910_at",0.344057228118453,5.13607681591332,4.95241520048743,0.000603456306235901,0.00152266061986191,-1.10652477358209
"1622911_at",-0.0444876446802578,3.97304136948967,-0.70699854472085,0.495956421002061,0.575095820535429,-7.59912056987214
"1622912_at",-0.57751854221805,6.16881387126527,-8.82844060376129,5.46302862146941e-06,2.076104239705e-05,3.93700475593355
"1622913_a_at",0.00963422119760526,5.6019913196707,0.120576009693061,0.906451504630886,0.930093375034069,-7.85927808012033
"1622914_at",0.0679711206814693,5.3296381376523,0.860050309305765,0.410210670052489,0.492512677784908,-7.47502914066165
"1622915_at",1.57856675467447,10.3230800605222,21.3695071838127,1.40666699646017e-09,5.16193688492009e-08,12.7077038028567
"1622916_at",0.199599198653438,6.25509339997958,3.11812700226398,0.0111057173981501,0.0217793414869351,-4.14997670062434
"1622917_a_at",1.40132686163555,11.1411568700785,14.4332791152347,5.99552385618395e-08,4.89772276389647e-07,8.77324264868988
"1622918_at",-0.00290030593897228,4.50736836751937,-0.0477943358450492,0.962835551579774,0.972430555477744,-7.8660119496184
"1622919_at",0.375110708882268,5.87825645912093,3.84357365135845,0.00333899637651761,0.00730976774029822,-2.90882029830711
"1622920_at",0.250392521363529,4.91555176080473,2.04991656589084,0.0679497708376104,0.107217055775072,-5.94310053643592
"1622921_at",0.167108600955368,10.881196985828,2.52667979735701,0.030368694901001,0.0531634496364096,-5.16183992572149
"1622922_at",1.02372240600658,5.48360844315597,15.0793978946836,3.96246642820141e-08,3.63488207876443e-07,9.21307905585006
"1622923_at",-0.551164837915576,4.29365584543147,-5.78126680593648,0.000188247956924889,0.000519312267778819,0.134869285620129
"1622924_at",0.200552671810986,5.65076077351572,2.21433056990902,0.0515834045485351,0.084400300699632,-5.67953728474609
"1622925_at",-0.608172145073034,8.73479090306976,-7.3181117353428,2.76789301282028e-05,8.98853810468986e-05,2.19105206299242
"1622926_at",-1.16030764569687,6.5232599205925,-14.0477045787497,7.7395617992027e-08,5.92871049962958e-07,8.5015725171026
"1622927_at",0.128057508158193,6.09260107051983,1.80709997201666,0.101343162169057,0.151304207454543,-6.31651973368259
"1622928_at",0.305130249463794,9.34445603466711,4.45215628975432,0.00127831525697429,0.00302984376565492,-1.90112756474027
"1622929_at",0.0201125090450764,4.79287934014064,0.281548023106806,0.78411765729479,0.830572202160231,-7.82384624235274
"1622930_a_at",-0.213369496891286,8.06034474413237,-2.41870811170335,0.036494361919478,0.0625501827774995,-5.34284030600245
"1622931_at",-0.118456848206865,8.49711861213923,-1.4447340233844,0.179588786978294,0.246438830701081,-6.82627466829991
"1622932_s_at",-0.944361311941146,8.23404270546897,-9.2030219212472,3.77866211558153e-06,1.49287480538881e-05,4.33373437565609
"1622933_at",1.6911757337912,7.42148745189864,12.4058531154162,2.47839463774499e-07,1.47892113269972e-06,7.25913535972115
"1622934_at",-0.280670001889296,7.03179834292302,-3.68539939636372,0.00431891832170985,0.00924795634785389,-3.17678210074668
"1622935_at",0.122482821888749,5.24858778619094,1.77922693223474,0.10602664010496,0.157083871425046,-6.3579445093908
"1622936_at",0.360401896712229,5.11570595444343,5.20671833371795,0.000417747362860371,0.00108528417010689,-0.715512208589685
"1622937_at",-0.473126465948666,7.20106833170106,-5.19935072209838,0.000422167455209045,0.00109571591497149,-0.726714972783863
"1622938_at",0.042640849302737,4.76141257657861,0.624579300837087,0.54644471761149,0.622481233886696,-7.65686708483206
"1622939_at",-2.34807757145792,9.4049499190016,-16.8681481354564,1.36443045653116e-08,1.75142253287743e-07,10.3400202358779
"1622940_at",1.04787803356177,10.6421823718552,16.4575798647924,1.72594629081103e-08,2.01549063648407e-07,10.0923000103056
"1622941_at",-0.490559198307954,11.5277383718631,-7.19605006598826,3.18922853363522e-05,0.000102236568283922,2.03873280183443
"1622942_at",0.0829768040466137,5.53534479829129,0.893802681454854,0.392747557836456,0.474703553323757,-7.44483439887935
"1622943_s_at",-0.0974052823410414,7.91367544839594,-1.12386143808419,0.287721421697963,0.367251960246981,-7.21373710393852
"1622944_at",0.30165859148126,10.9946365071828,3.86927205505509,0.00320318864853443,0.0070458253559685,-2.86548775290172
"1622945_a_at",-1.53305959666481,8.97551663533615,-19.8786798444557,2.82520844812383e-09,7.15820193968487e-08,11.9868875268714
"1622946_at",-0.0550424821257254,4.89998193728161,-0.619132766634758,0.549882862675067,0.625683238077441,-7.66045164248107
"1622947_s_at",-1.2605127347894,11.8635357689923,-16.6141280968332,1.57698480903606e-08,1.9182937163576e-07,10.1874828569669
"1622948_at",-0.452293177434193,10.1430929362403,-5.9352308079099,0.000153232109968923,0.000430294109961627,0.354974487360568
"1622949_at",-0.60836402387232,8.22967965224525,-7.49637844562033,2.25731038885935e-05,7.45955474972317e-05,2.41031775613965
"1622950_a_at",-0.556360983516621,9.11265171916203,-7.1459888518698,3.38172739933838e-05,0.000107678927540761,1.97574091555787
"1622951_at",-0.0928576588730365,4.14975073587757,-1.29131972180154,0.226079928777475,0.299522321579217,-7.02013286256949
"1622952_at",1.40681159608871,9.81003725498806,12.5332441457084,2.25352688281512e-07,1.37107035258787e-06,7.36089515010117
"1622953_at",0.0172980344360161,5.16542021487419,0.255165195370994,0.803845471477413,0.847772920169167,-7.83157723747813
"1622954_at",0.0167865227234989,4.99760558249427,0.229767031620667,0.822974955657928,0.863526816500335,-7.83831066081291
"1622955_at",0.171292738286029,5.94206390727558,2.08091822645239,0.0645253630292789,0.102565183270225,-5.89398828676633
"1622956_at",1.49106685429555,10.8686237405197,13.7596419307466,9.40570535826131e-08,6.88516523560325e-07,8.29388702734353
"1622957_s_at",1.56293722326342,6.93380522408499,21.3060176935184,1.44767080687629e-09,5.19889899937235e-08,12.6781232275061
"1622958_at",0.215667561345908,4.61102505892367,3.42698301283778,0.00661586769685329,0.0136346155492348,-3.61841548701849
"1622959_at",0.214759146737763,7.61508908256736,2.91166278550684,0.0157592229561176,0.0296710504137037,-4.50548100655085
"1622960_at",0.694146439529267,5.49776546422297,9.71044160377353,2.33722221019433e-06,9.8041246851711e-06,4.85061095509354
"1622961_at",0.172725904441813,4.66320740722752,2.3848227563426,0.0386567309130964,0.0657473179812442,-5.39924418529157
"1622962_a_at",-0.31286925990098,8.29176406400858,-3.23313398712858,0.00914926512536865,0.018261913918482,-3.95180417288971
"1622963_at",0.0367296704733979,4.88783905044604,0.581680973574842,0.57385484053569,0.647902831992875,-7.68431026734236
"1622964_at",-0.00647284184396746,4.97931795501693,-0.0814341827287334,0.936727978893979,0.953122981638499,-7.86362213686553
"1622965_s_at",0.0945257966285546,3.90734164093503,1.51884815321904,0.160232078655544,0.223567573781924,-6.72753903255434
"1622966_at",1.58907368879596,8.85406379276899,14.6953995124362,5.05805507221508e-08,4.3485911064553e-07,8.95394669257683
