id,gene,logFC,logCPM,F,PValue,FDR,13__13_S13,14__14_S14,15__15_S15,Wyr_34_S2,Wyr_53_S5
ENSG00000186222,BLOC1S4,2.129099003,3.749860857,32.42060626,0.001051934,0.014068994,2.52823034,2.631537685,2.458110225,5.07598092,4.004650937
ENSG00000132821,VSTM2L,2.129893733,3.632473142,60.22653518,0.000170619,0.007974072,2.550963659,2.429912132,2.282249391,4.684877375,4.332949084
ENSG00000272325,NUDT3,2.131124043,4.621579343,50.78275079,0.000280715,0.009013428,3.470219831,3.291177225,3.4343052,5.799914291,5.156579127
ENSG00000220008,LINGO3,2.135691261,2.923169264,35.05930825,0.000849369,0.012657783,1.250183591,1.949311475,1.884883503,4.079861742,3.467055653
ENSG00000160256,FAM207A,2.137136685,5.409399023,33.94889703,0.000928149,0.013363709,4.272643929,3.98241117,4.262143056,6.744689697,5.670051519
ENSG00000189129,PLAC9,2.137906618,3.568350831,36.9608929,0.000735171,0.012020646,2.010016029,2.589104072,2.410013061,4.02571205,4.788865135
ENSG00000158106,RHPN1,2.140117321,5.154093022,48.01618815,0.00033933,0.009328813,3.741256686,3.915298008,4.089672774,6.35537008,5.66245193
ENSG00000130643,CALY,2.143202035,2.788112876,32.84003087,0.001015901,0.013777457,1.357245591,1.330449258,1.986771724,3.977623355,3.281070871
ENSG00000149541,B3GAT3,2.146065515,4.954413114,51.95653719,0.00026272,0.008938513,3.595787473,3.761387886,3.794210667,5.492900459,6.138401525
ENSG00000124104,SNX21,2.146259335,5.051441856,57.05735852,0.000199951,0.008473978,3.780260566,3.898020291,3.765828198,6.208588211,5.631646814
ENSG00000226321,CROCC2,2.149053008,2.667116291,29.50860442,0.001355076,0.015701893,1.073037729,1.477277437,1.775249045,3.927876306,3.036490055
ENSG00000241644,INMT,2.149222079,6.050247761,28.90949564,0.001431288,0.016044176,4.279466388,4.826750678,5.17849655,7.352213997,6.390738615
ENSG00000141744,PNMT,2.149234389,1.580579407,50.18134593,0.000290564,0.009036484,0.248126881,0.330585748,0.697095182,2.576387041,2.294467033
ENSG00000167702,KIFC2,2.150848417,6.298122083,46.49520019,0.000387063,0.009778288,4.809011107,5.188303166,5.134774777,7.547408526,6.737889567
ENSG00000178685,PARP10,2.151239936,7.386009463,49.92688795,0.000316153,0.009233605,6.123480178,5.978290499,6.297289649,8.658330439,7.7870497
ENSG00000100399,CHADL,2.151421692,3.480482685,30.07883499,0.001287425,0.015318493,1.976820938,2.137745681,2.593469677,4.776731788,3.80743854
ENSG00000143878,RHOB,2.152562911,7.183226849,68.16204449,0.000123472,0.007413509,5.517475215,6.159587256,6.051012658,8.056269497,8.113047098
ENSG00000130522,JUND,2.154167782,7.678283242,49.80255304,0.000318409,0.009233605,6.239983284,6.598440526,6.425297765,8.951240664,8.0806258
ENSG00000127415,IDUA,2.15433203,4.401675252,39.34811528,0.000618225,0.01135549,2.779904699,3.578269008,3.019253324,5.504259853,5.059621658
