control,eggs,hatched
-ve,23,23
-ve,28,26
-ve,25,21
-ve,27,26
-ve,27,27
-ve,30,26
-ve,26,23
-ve,19,19
-ve,22,19
-ve,28,28
-ve,23,22
-ve,25,24
-ve,25,24
-ve,30,30
-ve,35,34
-ve,17,14
-ve,19,19
-ve,26,22
-ve,30,26
-ve,26,21
-ve,30,29
-ve,47,43
-ve,46,39
-ve,57,57
+ve,16,0
+ve,25,0
+ve,26,0
+ve,26,0
+ve,7,0
+ve,30,0
+ve,13,0
+ve,13,0
+ve,19,0
+ve,9,0
+ve,22,0
+ve,26,0
+ve,27,0
+ve,12,0
+ve,25,0
+ve,14,0
+ve,28,0
+ve,28,0
+ve,15,0
+ve,28,0
+ve,4,0
+ve,59,0
+ve,22,0
+ve,59,0
