id_gene_DM,FT1 eggs,FT1 hatched,FT2 eggs,FT2 hatched,FT3 eggs,FT3 hatched,FT4 eggs,FT4 hatched
FBgn0032513,10,0,6,0,19,0,12,0
FBgn0033816,18,0,10,0,11,0,13,0
FBgn0243513,16,0,20,0,31,0,25,0
FBgn0040918,25,0,27,0,28,0,30,0
FBgn0011211,27,0,23,0,25,2,30,1
FBgn0030311,30,2,27,1,30,7,25,0
FBgn0263697,11,6,30,16,22,13,14,4
FBgn0033060,17,15,28,20,30,21,23,19
FBgn0037241,26,16,22,21,30,26,28,20
FBgn0039367,24,20,30,26,16,15,18,12
FBgn0027330,23,17,31,29,31,28,30,26
FBgn0027538,29,27,17,16,29,25,29,21
FBgn0261804,28,23,32,31,27,25,25,19
FBgn0030753,15,13,25,24,30,26,21,18
FBgn0033815,29,25,29,27,30,28,25,21
FBgn0039846,22,22,29,27,30,23,27,25
FBgn0034065,29,27,22,22,25,21,30,26
FBgn0261112,18,18,27,23,29,28,25,21
FBgn0031947,27,24,26,26,27,26,26,22
FBgn0086757,30,28,33,29,30,27,30,30
FBgn0011740,16,16,26,26,27,22,30,27
FBgn0032042,16,15,27,26,30,28,18,16
FBgn0032857,30,28,32,30,29,28,23,21
FBgn0038360,24,23,29,27,31,30,30,27
FBgn0035591,21,21,27,26,29,25,30,28
FBgn0039487,28,26,30,25,30,30,25,25
FBgn0023096,22,21,25,25,20,17,27,26
FBgn0032329,26,26,30,27,29,27,22,21
FBgn0037255,31,28,30,28,30,29,22,22
FBgn0039370,31,30,24,24,29,27,26,24
FBgn0026616,30,28,26,26,26,25,30,28
FBgn0034688,24,23,30,29,22,20,25,25
FBgn0032017,17,17,30,28,29,28,16,15
FBgn0037297,34,32,27,26,15,14,30,30
FBgn0019932,22,21,29,29,28,27,28,26
FBgn0038721,29,28,26,26,30,29,25,23
FBgn0032051,27,25,26,26,27,26,21,21
FBgn0036052,31,29,30,30,30,29,27,27
FBgn0034657,32,32,32,32,31,29,25,25
FBgn0004556,27,26,11,11,18,18,30,30
FBgn0028467,30,29,28,28,24,24,23,23
FBgn0003884,25,0,24,0,18,0,18,0
FBgn0003886,32,0,23,0,8,0,19,0
FBgn0024804,19,3,22,5,52,13,95,23
FBgn0036043,20,17,27,17,57,46,76,68
FBgn0261618,30,28,30,27,29,25,21,15
FBgn0038047,30,26,20,17,28,20,20,20
FBgn0265140,14,13,16,15,20,18,23,22
FBgn0038325,30,26,16,15,25,25,30,28
FBgn0020309,30,29,30,29,23,20,28,27
FBgn0262871,26,24,27,26,30,28,26,25
FBgn0260945,20,17,23,23,19,19,25,25
FBgn0036300,16,16,22,21,30,30,26,25
