,id_string,label,TPM,biotype,logFPKM,layer,is_conserved,is_core,is_ortho_metric_nodes
ENSG00000155980,9606.ENSP00000408979,KIF5A,5.966055416666666,protein_coding,3.6492737891888796,HS,True,False,True
ENSG00000123836,9606.ENSP00000356047,PFKFB2,2.0166705,protein_coding,1.931999293420974,HS,True,False,False
ENSG00000170889,9606.ENSP00000302896,RPS9,3.41554225,protein_coding,2.634641105809462,HS,True,False,True
ENSG00000196363,9606.ENSP00000351446,WDR5,10.461459250000004,protein_coding,4.18402899124368,HS,True,False,True
ENSG00000205302,9606.ENSP00000368831,SNX2,10.652999500000002,protein_coding,3.9754356373718323,HS,True,True,True
ENSG00000149196,9606.ENSP00000278483,HIKESHI,5.299143333333333,protein_coding,3.1639619251150197,HS,True,False,True
ENSG00000138399,9606.ENSP00000400513,FASTKD1,5.773675833333335,protein_coding,3.4222522342457213,HS,True,False,False
ENSG00000067141,9606.ENSP00000341198,NEO1,3.280294833333334,protein_coding,2.4245694982814707,HS,True,False,False
ENSG00000176853,9606.ENSP00000335082,FAM91A1,7.54147875,protein_coding,3.7482428800439367,HS,True,False,False
ENSG00000135775,9606.ENSP00000355629,COG2,3.8094674166666667,protein_coding,2.69304574595593,HS,True,False,True
ENSG00000143552,9606.ENSP00000357547,NUP210L,21.065406666666664,protein_coding,5.347100764744962,HS,True,False,False
ENSG00000116237,9606.ENSP00000343552,ICMT,2.835711666666666,protein_coding,2.3105558058188285,HS,True,True,True
ENSG00000145907,9606.ENSP00000377681,G3BP1,8.114847833333334,protein_coding,4.0018713813716404,HS,True,False,True
ENSG00000144747,9606.ENSP00000381567,TMF1,8.698220583333333,protein_coding,3.802395895324896,HS,True,False,True
ENSG00000168028,9606.ENSP00000346067,RPSA,23.638408916666666,protein_coding,5.25984510071605,HS,True,False,True
ENSG00000184014,9606.ENSP00000328524,DENND5A,2.155161833333333,protein_coding,1.9682004787348515,HS,True,False,True
ENSG00000167977,9606.ENSP00000301738,KCTD5,2.1234848333333334,protein_coding,2.022694195107874,HS,True,False,True
ENSG00000083799,9606.ENSP00000392025,CYLD,21.602974,protein_coding,5.334542289140322,HS,True,False,False
ENSG00000149311,9606.ENSP00000278616,ATM,8.136363249999999,protein_coding,3.7495145399757996,HS,True,False,True
ENSG00000144455,9606.ENSP00000272902,SUMF1,2.887888750000001,protein_coding,2.4344512239491563,HS,True,False,False
ENSG00000167863,9606.ENSP00000301587,ATP5PD,19.139614083333328,protein_coding,4.915099917840396,HS,True,False,True
ENSG00000144893,9606.ENSP00000417235,MED12L,5.35097975,protein_coding,3.4842543865937317,HS,True,False,True
ENSG00000100239,9606.ENSP00000478417,PPP6R2,12.109124333333336,protein_coding,4.424652391643755,HS,True,False,True
ENSG00000103876,9606.ENSP00000385080,FAH,5.805141833333334,protein_coding,3.16344048390489,HS,True,False,True
ENSG00000174891,9606.ENSP00000481697,RSRC1,3.817656166666667,protein_coding,2.6200950480719714,HS,True,False,False
ENSG00000009844,9606.ENSP00000356602,VTA1,1.3670660833333337,protein_coding,1.6304540886161798,HS,True,False,True
ENSG00000278845,9606.ENSP00000484903,MRPL45,2.042947916666667,protein_coding,2.06909312547691,HS,True,False,False
ENSG00000148834,9606.ENSP00000358727,GSTO1,1.450656666666667,protein_coding,1.4433293126665996,HS,True,False,False
ENSG00000163319,9606.ENSP00000295491,MRPS18C,1.82473575,protein_coding,2.180744085846118,HS,True,False,True
ENSG00000206190,9606.ENSP00000349325,ATP10A,1.5112626666666669,protein_coding,1.3444250729092322,HS,True,False,True
ENSG00000087460,9606.ENSP00000360141,GNAS,92.70788875,protein_coding,7.038988315614523,HS,True,False,True
ENSG00000119321,9606.ENSP00000238256,FKBP15,3.087535083333333,protein_coding,2.797839937834336,HS,True,False,False
ENSG00000189403,9606.ENSP00000345347,HMGB1,2.7620962500000004,protein_coding,2.25022834560412,HS,True,False,True
ENSG00000140365,9606.ENSP00000267935,COMMD4,80.11159383333334,protein_coding,7.193862827891098,HS,True,False,True
ENSG00000141385,9606.ENSP00000269143,AFG3L2,3.845166833333333,protein_coding,2.7541267519811816,HS,True,False,True
ENSG00000175183,9606.ENSP00000310901,CSRP2,10.167779166666667,protein_coding,4.287704032668875,HS,True,False,False
ENSG00000075945,9606.ENSP00000354560,KIFAP3,6.952303166666666,protein_coding,3.340233245770662,HS,True,False,True
ENSG00000188807,9606.ENSP00000344503,TMEM201,3.454222666666667,protein_coding,2.6757257881378305,HS,True,False,True
ENSG00000108039,9606.ENSP00000421566,XPNPEP1,3.0807908333333334,protein_coding,2.457249116485578,HS,True,False,False
ENSG00000179134,9606.ENSP00000317224,SAMD4B,72.06823641666669,protein_coding,6.912246362583184,HS,True,False,False
ENSG00000138594,9606.ENSP00000308753,TMOD3,6.53637875,protein_coding,3.282954825380284,HS,True,False,True
ENSG00000115677,9606.ENSP00000375836,HDLBP,90.04678033333332,protein_coding,7.2789516106760495,HS,True,False,False
ENSG00000168710,9606.ENSP00000358814,AHCYL1,6.6808549999999975,protein_coding,3.5012781679302005,HS,True,False,False
ENSG00000169398,9606.ENSP00000341189,PTK2,19.797762583333334,protein_coding,5.009716522185519,HS,True,False,True
ENSG00000109832,9606.ENSP00000263576,DDX25,16.24191725,protein_coding,4.899938907036678,HS,True,False,True
ENSG00000168397,9606.ENSP00000384259,ATG4B,12.163433166666666,protein_coding,4.345852556987228,HS,True,False,True
ENSG00000106526,9606.ENSP00000252071,ACTR3C,1.626619,protein_coding,1.773123307857937,HS,True,False,False
ENSG00000073146,9606.ENSP00000262794,MOV10L1,19.110226833333336,protein_coding,5.074370541324959,HS,True,True,True
ENSG00000160563,9606.ENSP00000292035,MED27,10.47226975,protein_coding,4.284203001305426,HS,True,False,True
ENSG00000137161,9606.ENSP00000361926,CNPY3,16.988146333333336,protein_coding,4.754693522337084,HS,True,False,True
ENSG00000259316,9606.ENSP00000475686,AC087632.1,3.945114583333333,protein_coding,2.3272485495529596,HS,True,False,False
ENSG00000156052,9606.ENSP00000286548,GNAQ,1.7698145833333332,protein_coding,1.788861982841915,HS,True,False,True
ENSG00000143442,9606.ENSP00000271715,POGZ,22.96397516666667,protein_coding,5.260183633462312,HS,True,False,True
ENSG00000182473,9606.ENSP00000334100,EXOC7,8.020499166666665,protein_coding,3.8926552124562037,HS,True,False,True
ENSG00000182606,9606.ENSP00000328998,TRAK1,2.8368875,protein_coding,2.2755746989043284,HS,True,False,True
ENSG00000178295,9606.ENSP00000318977,GEN1,16.383149333333332,protein_coding,4.958426773531558,HS,True,False,False
ENSG00000134193,9606.ENSP00000346158,REG4,1.3792560833333332,protein_coding,1.2247003805517769,HS,True,False,False
ENSG00000147162,9606.ENSP00000362824,OGT,4.805744333333333,protein_coding,3.2939050436626798,HS,True,False,True
ENSG00000125459,9606.ENSP00000245564,MSTO1,21.833825916666665,protein_coding,5.2683834070202105,HS,True,False,False
ENSG00000249915,9606.ENSP00000264933,PDCD6,6.165733333333333,protein_coding,3.3750107741559945,HS,True,False,True
ENSG00000080603,9606.ENSP00000262518,SRCAP,12.801892416666664,protein_coding,4.5845043121825535,HS,True,False,True
ENSG00000015153,9606.ENSP00000328004,YAF2,4.48826625,protein_coding,3.1842805589399013,HS,True,False,True
ENSG00000164587,9606.ENSP00000385958,RPS14,149.94571083333338,protein_coding,7.97269272435862,HS,True,False,True
ENSG00000196605,9606.ENSP00000380999,ZNF846,32.844935,protein_coding,5.929075699100186,HS,True,True,False
ENSG00000118482,9606.ENSP00000262043,PHF3,21.78874658333333,protein_coding,5.338046460121335,HS,True,False,True
ENSG00000078246,9606.ENSP00000380321,TULP3,14.246484916666667,protein_coding,4.697919756816935,HS,True,False,False
ENSG00000154781,9606.ENSP00000373304,CCDC174,9.265218916666667,protein_coding,4.023238227958643,HS,True,False,True
ENSG00000141279,9606.ENSP00000320324,NPEPPS,18.633044416666667,protein_coding,5.082247077402459,HS,True,False,True
ENSG00000187257,9606.ENSP00000334040,RSBN1L,13.649085333333332,protein_coding,4.680277644803353,HS,True,False,False
ENSG00000094914,9606.ENSP00000209873,AAAS,18.114190416666666,protein_coding,5.072612220201594,HS,True,True,False
ENSG00000074695,9606.ENSP00000251047,LMAN1,2.9952887500000003,protein_coding,2.418911834602551,HS,True,False,True
ENSG00000122971,9606.ENSP00000242592,ACADS,4.398107333333333,protein_coding,3.156274944077409,HS,True,True,True
ENSG00000119383,9606.ENSP00000377036,PTPA,19.953380833333334,protein_coding,5.230613533320096,HS,True,False,False
ENSG00000131626,9606.ENSP00000253925,PPFIA1,28.30863008333333,protein_coding,5.761315289298515,HS,True,False,True
ENSG00000104859,9606.ENSP00000221455,CLASRP,9.929336,protein_coding,3.9942527954686526,HS,True,False,True
ENSG00000145592,9606.ENSP00000274242,RPL37,41.19905475000001,protein_coding,5.881656518003788,HS,True,False,True
ENSG00000114573,9606.ENSP00000273398,ATP6V1A,6.418207083333335,protein_coding,3.547828869309189,HS,True,False,True
ENSG00000169018,9606.ENSP00000307298,FEM1B,5.188763333333334,protein_coding,2.7947086560744974,HS,True,False,True
ENSG00000177879,9606.ENSP00000325369,AP3S1,4.669008166666667,protein_coding,3.083679338812648,HS,True,False,True
ENSG00000121741,9606.ENSP00000479904,ZMYM2,27.815374583333334,protein_coding,5.465651655296537,HS,True,False,False
ENSG00000104833,9606.ENSP00000264071,TUBB4A,16.502299083333334,protein_coding,4.532915884912351,HS,True,False,True
ENSG00000139372,9606.ENSP00000376611,TDG,1.6061885833333338,protein_coding,2.3873804641148855,HS,True,False,True
ENSG00000164494,9606.ENSP00000358033,PDSS2,3.8024349166666656,protein_coding,3.0009834324759925,HS,True,False,True
ENSG00000002834,9606.ENSP00000325240,LASP1,4.08451225,protein_coding,2.3549254819304766,HS,True,False,False
ENSG00000115211,9606.ENSP00000394869,EIF2B4,28.17869291666668,protein_coding,5.523746227671099,HS,True,False,True
ENSG00000117906,9606.ENSP00000319739,RCN2,17.091315166666668,protein_coding,5.036275068461259,HS,True,True,False
ENSG00000197150,9606.ENSP00000297504,ABCB8,2.6142060833333334,protein_coding,2.3051971079423956,HS,True,False,True
ENSG00000117751,9606.ENSP00000311677,PPP1R8,2.1723028333333336,protein_coding,2.0174047605419445,HS,True,False,True
ENSG00000000457,9606.ENSP00000356746,SCYL3,5.400421499999999,protein_coding,3.5309924782945363,HS,True,True,False
ENSG00000168589,9606.ENSP00000302936,DYNLRB2,188.63731441666667,protein_coding,8.329702218822893,HS,True,False,True
ENSG00000144118,9606.ENSP00000272519,RALB,5.316369750000002,protein_coding,3.0867428699579462,HS,True,False,True
ENSG00000206530,9606.ENSP00000377428,CFAP44,16.058058583333334,protein_coding,4.943308691675847,HS,True,False,False
ENSG00000117569,9606.ENSP00000359216,PTBP2,41.827170333333335,protein_coding,6.483550358754573,HS,True,True,False
ENSG00000166233,9606.ENSP00000369217,ARIH1,5.574967666666666,protein_coding,3.3052892860641623,HS,True,False,True
ENSG00000112984,9606.ENSP00000378356,KIF20A,11.876758833333332,protein_coding,4.623952434489093,HS,True,True,False
ENSG00000204843,9606.ENSP00000354791,DCTN1,16.797559333333336,protein_coding,4.865740231232907,HS,True,False,True
ENSG00000119777,9606.ENSP00000238788,TMEM214,28.56336508333333,protein_coding,5.737290535898763,HS,True,False,True
ENSG00000264343,9606.ENSP00000464060,NOTCH2NLA,12.038380500000002,protein_coding,4.508378158378247,HS,True,False,True
ENSG00000187323,9606.ENSP00000389140,DCC,5.423310416666666,protein_coding,2.702274362051506,HS,True,False,False
ENSG00000082515,9606.ENSP00000431040,MRPL22,9.874916833333335,protein_coding,4.061140739108535,HS,True,False,True
ENSG00000119844,9606.ENSP00000238855,AFTPH,9.505233833333332,protein_coding,3.791284985975287,HS,True,False,True
ENSG00000187735,9606.ENSP00000428426,TCEA1,11.92712325,protein_coding,4.303160328973389,HS,True,False,False
ENSG00000253797,9606.ENSP00000428619,UTP14C,2.9265889166666668,protein_coding,2.5719945157275563,HS,True,False,True
ENSG00000230989,9606.ENSP00000392896,HSBP1,33.195291999999995,protein_coding,5.838880703733522,HS,True,False,True
ENSG00000141232,9606.ENSP00000427695,TOB1,11.372717916666666,protein_coding,4.41452510503423,HS,True,False,True
ENSG00000136167,9606.ENSP00000381581,LCP1,6.140999,protein_coding,3.0339588944067355,HS,True,False,False
ENSG00000173933,9606.ENSP00000386894,RBM4,19.604635666666667,protein_coding,4.940992132206549,HS,True,True,False
ENSG00000146576,9606.ENSP00000340220,C7orf26,4.75851425,protein_coding,3.2384416947750565,HS,True,False,True
ENSG00000105364,9606.ENSP00000253099,MRPL4,5.887556,protein_coding,3.291894255660213,HS,True,False,True
ENSG00000089685,9606.ENSP00000301633,BIRC5,34.29018516666667,protein_coding,6.056824078503813,HS,True,True,False
ENSG00000142892,9606.ENSP00000359848,PIGK,2.6856809999999998,protein_coding,2.5664975638192744,HS,True,False,True
ENSG00000109519,9606.ENSP00000264954,GRPEL1,4.052892416666666,protein_coding,2.6635346508929527,HS,True,False,True
ENSG00000204370,9606.ENSP00000364699,SDHD,3.3962738333333333,protein_coding,2.536828865600798,HS,True,False,True
ENSG00000072778,9606.ENSP00000438689,ACADVL,89.75016083333334,protein_coding,7.358250471582456,HS,True,True,True
