,id_string,label,TPM,biotype,logFPKM,layer,is_conserved,is_core,is_ortho_metric_nodes
ENSMUSG00000037646,10090.ENSMUSP00000045490,Vps13b,6.665686666666668,protein_coding,2.3247641446285425,MM,True,False,True
ENSMUSG00000045031,10090.ENSMUSP00000100020,Cetn4,1298.2858483333332,protein_coding,9.61153753507263,MM,True,True,True
ENSMUSG00000020456,10090.ENSMUSP00000003461,Ogdh,36.343046666666666,protein_coding,4.5146948470029695,MM,True,False,True
ENSMUSG00000027384,10090.ENSMUSP00000035325,Ndufaf5,18.560919333333327,protein_coding,3.604741578210953,MM,True,False,True
ENSMUSG00000025648,10090.ENSMUSP00000057197,Pfkfb4,16.62656133333333,protein_coding,3.459112266792006,MM,True,False,False
ENSMUSG00000024070,10090.ENSMUSP00000113395,Prkd3,1.2754196666666668,protein_coding,0.8215545778679758,MM,True,False,False
ENSMUSG00000078908,10090.ENSMUSP00000045089,Mon1b,3.942015333333333,protein_coding,1.752816657608998,MM,True,False,True
ENSMUSG00000029136,10090.ENSMUSP00000031018,Rbks,17.235097666666665,protein_coding,3.506255028814976,MM,True,False,True
ENSMUSG00000074698,10090.ENSMUSP00000096829,Csnk2a1,4.140270666666667,protein_coding,1.8032590041083993,MM,True,False,True
ENSMUSG00000025873,10090.ENSMUSP00000121182,Faf2,23.25951,protein_coding,3.906201880991996,MM,True,False,True
ENSMUSG00000015575,10090.ENSMUSP00000127552,Atp6v0e,39.78480133333333,protein_coding,4.639108903660443,MM,True,False,False
ENSMUSG00000029439,10090.ENSMUSP00000062413,Sfswap,22.60134,protein_coding,3.8671170664257204,MM,True,False,False
ENSMUSG00000031367,10090.ENSMUSP00000107913,Ap1s2,1.894298,protein_coding,1.0975678746868776,MM,True,False,True
ENSMUSG00000035161,10090.ENSMUSP00000086788,Ints6,70.59832,protein_coding,5.442035119083165,MM,True,False,True
ENSMUSG00000032252,10090.ENSMUSP00000139949,Glce,1.2231363333333334,protein_coding,0.795554461494594,MM,True,False,True
ENSMUSG00000020696,10090.ENSMUSP00000021036,Rffl,20.904743666666665,protein_coding,3.763709254537597,MM,True,False,False
ENSMUSG00000058927,10090.ENSMUSP00000072829,Gm10053,4.038862666666667,protein_coding,1.7783602687178286,MM,True,False,True
ENSMUSG00000033039,10090.ENSMUSP00000042053,Micall1,18.060176000000002,protein_coding,3.567664207124691,MM,True,False,False
ENSMUSG00000010517,10090.ENSMUSP00000099785,Faf1,67.67560066666668,protein_coding,5.3825461470381315,MM,True,True,True
ENSMUSG00000002957,10090.ENSMUSP00000003038,Ap2a2,11.267050999999999,protein_coding,2.9592986370748253,MM,True,False,True
ENSMUSG00000015095,10090.ENSMUSP00000015239,Fbxw5,285.38700366666666,protein_coding,7.4310256909370835,MM,True,True,True
ENSMUSG00000006498,10090.ENSMUSP00000126192,Ptbp1,44.05823766666666,protein_coding,4.781193767820569,MM,True,False,True
ENSMUSG00000014550,10090.ENSMUSP00000014694,Rbsn,5.972897,protein_coding,2.1994535358533893,MM,True,False,True
ENSMUSG00000090124,10090.ENSMUSP00000058683,Ugt1a7c,13.487956333333333,protein_coding,3.1877892796471383,MM,True,False,False
ENSMUSG00000002068,10090.ENSMUSP00000103658,Ccne1,9.286183666666666,protein_coding,2.7191771599430106,MM,True,True,True
ENSMUSG00000024472,10090.ENSMUSP00000025350,Dcp2,2.2486683333333333,protein_coding,1.2342478712076412,MM,True,False,True
ENSMUSG00000020257,10090.ENSMUSP00000020490,Wdr82,19.662827666666665,protein_coding,3.682145069476887,MM,True,False,True
ENSMUSG00000034075,10090.ENSMUSP00000048198,Zdhhc5,67.36797333333332,protein_coding,5.37581161693111,MM,True,False,True
ENSMUSG00000032459,10090.ENSMUSP00000035034,Mrps22,62.78154900000001,protein_coding,5.277098457096954,MM,True,False,True
ENSMUSG00000025825,10090.ENSMUSP00000026937,Iscu,127.53494266666668,protein_coding,6.280588419272237,MM,True,False,True
ENSMUSG00000039934,10090.ENSMUSP00000043679,Gsap,1.212084333333333,protein_coding,0.7899489944051279,MM,True,False,True
ENSMUSG00000041068,10090.ENSMUSP00000039186,4930596D02Rik,9.869330666666665,protein_coding,2.794747102296888,MM,True,False,True
ENSMUSG00000037890,10090.ENSMUSP00000038098,Wdr19,19.163176666666672,protein_coding,3.6467567822760563,MM,True,True,False
ENSMUSG00000026020,10090.ENSMUSP00000140250,Nop58,68.09682733333334,protein_coding,5.390273348215806,MM,True,False,True
ENSMUSG00000002658,10090.ENSMUSP00000002733,Gtf2f1,188.77844766666664,protein_coding,6.839373323152496,MM,True,False,True
ENSMUSG00000008682,10090.ENSMUSP00000008826,Rpl10,17.364138666666666,protein_coding,3.5167272808734205,MM,True,False,True
ENSMUSG00000038342,10090.ENSMUSP00000064943,Mlxip,3.821503,protein_coding,1.7217749683631982,MM,True,False,True
